question,query_type
"Newest datasets available",filter_datasets
"Filter datasets by date",filter_datasets
"Datasets publicados después de 2020",filter_datasets
"Enseña los datasets más recientes",filter_datasets
"Datasets del año pasado",filter_datasets
"Dame datasets anteriores a 2015",filter_datasets
"Datos actualizados en 2023",filter_datasets
"Datasets más nuevos disponibles",filter_datasets
"Filtrar datasets por fecha",filter_datasets
"How many datasets do we have?",get_statistics
"Count total datasets",get_statistics
"Number of available datasets",get_statistics
"Statistics about datasets",get_statistics
"Show dataset count by theme",get_statistics
"How many CSV datasets are there?",get_statistics
"Total number of distributions",get_statistics
"¿Cuántos datasets hay?",get_statistics
"Contar el total de datasets",get_statistics
"Número de datasets disponibles",get_statistics
"Estadísticas sobre los datasets",get_statistics
"Mostrar número de datasets por tema",get_statistics
"¿Cuántos datasets CSV existen?",get_statistics
"Número total de distribuciones",get_statistics
"List all named graphs",list_graphs
"Show all available graphs",list_graphs
"What graphs are in the catalog?",list_graphs
"Display all graphs",list_graphs
"Query available graphs",list_graphs
"¿Cuáles son los grafos disponibles?",list_graphs
"Listar todos los grafos",list_graphs
"Mostrar grafos del catálogo",list_graphs
"¿Qué grafos hay en el catálogo?",list_graphs
"Consultar grafos disponibles",list_graphs
"Show all data services",list_services
"List all data services",list_services
"What data services are available?",list_services
"Display all DataServices",list_services
"Query all services",list_services
"¿Qué servicios de datos hay?",list_services
"Listar todos los servicios de datos",list_services
"Mostrar servicios de datos",list_services
"Servicios de datos disponibles",list_services
"Consultar todos los servicios",list_services
"List all publishers",list_publishers
"Show all dataset publishers",list_publishers
"Who publishes datasets?",list_publishers
"What organizations publish data?",list_publishers
"Display all publishers",list_publishers
"¿Quién publica datasets?",list_publishers
"Listar todos los publicadores",list_publishers
"Mostrar organismos publicadores",list_publishers
"Organismos que publican datos",list_publishers
"¿Qué organizaciones publican datos?",list_publishers
"List all dataset properties",list_properties
"Show all properties of datasets",list_properties
"What properties do datasets have?",list_properties
"Display dataset properties",list_properties
"Query dataset attributes",list_properties
"¿Qué propiedades tienen los datasets?",list_properties
"Listar propiedades de los datasets",list_properties
"Mostrar todas las propiedades de los datasets",list_properties
"Propiedades de los datasets",list_properties
"Consultar atributos de datasets",list_properties
"List all classes in the catalog",list_classes
"Show all entity types",list_classes
"What types are available?",list_classes
"Display all classes",list_classes
"¿Qué clases hay en el catálogo?",list_classes
"Listar todas las clases",list_classes
"Mostrar todos los tipos de entidad",list_classes
"¿Qué tipos están disponibles?",list_classes
"Show properties of publishers",list_publisher_properties
"What properties do publishers have?",list_publisher_properties
"List publisher attributes",list_publisher_properties
"Display publisher properties",list_publisher_properties
"¿Qué propiedades tienen los publicadores?",list_publisher_properties
"Mostrar propiedades de organismos",list_publisher_properties
"Listar atributos de publicadores",list_publisher_properties
"Propiedades de los organismos",list_publisher_properties
"Show properties of data services",list_service_properties
"What properties do data services have?",list_service_properties
"List data service attributes",list_service_properties
"¿Qué propiedades tienen los servicios de datos?",list_service_properties
"Mostrar propiedades de servicios",list_service_properties
"Listar atributos de servicios de datos",list_service_properties
"Top 10 publishers by dataset count",rank_publishers
"Which organizations publish the most datasets?",rank_publishers
"Ranking of publishers by number of datasets",rank_publishers
"Show top publishers",rank_publishers
"¿Qué organismos publican más datasets?",rank_publishers
"Top 10 organismos por número de datasets",rank_publishers
"Ranking de publicadores",rank_publishers
"Mostrar principales publicadores",rank_publishers
"Top publishers by data services count",rank_publishers_services
"Which organizations have the most data services?",rank_publishers_services
"Ranking of publishers by services",rank_publishers_services
"¿Qué organismos tienen más servicios de datos?",rank_publishers_services
"Top organismos por servicios de datos",rank_publishers_services
"Ranking de publicadores por servicios",rank_publishers_services
"Combined ranking of publishers",rank_publishers_combined
"Total datasets and services by publisher",rank_publishers_combined
"Show publishers with most resources",rank_publishers_combined
"Ranking combinado de publicadores",rank_publishers_combined
"Datasets y servicios totales por organismo",rank_publishers_combined
"Mostrar organismos con más recursos",rank_publishers_combined
"Count datasets by graph",count_by_graph
"Statistics by named graph",count_by_graph
"Number of resources per graph",count_by_graph
"Contar datasets por grafo",count_by_graph
"Estadísticas por grafo",count_by_graph
"Número de recursos por grafo",count_by_graph
"Show datasets in specific graph",filter_by_graph
"Query datasets from catalog graph",filter_by_graph
"Filter by named graph",filter_by_graph
"Mostrar datasets en grafo específico",filter_by_graph
"Consultar datasets del grafo catálogo",filter_by_graph
"Filtrar por grafo",filter_by_graph
"Publishers with Spanish names",filter_publishers_language
"Show publishers in Spanish",filter_publishers_language
"List Spanish-language publishers",filter_publishers_language
"Publicadores con nombres en español",filter_publishers_language
"Mostrar publicadores en español",filter_publishers_language
"Listar organismos en español",filter_publishers_language
